"station_id","station_name","city","state","address","no_of_platforms","has_waiting_room","has_wifi"
"ADI","Ahmedabad Junction","Ahmedabad","Gujarat","Kalupur, Ahmedabad-380002","10","1","1"
"ALD","Prayagraj Junction","Prayagraj","Uttar Pradesh","Civil Lines, Prayagraj-211001","10","1","0"
"BBS","Bhubaneswar","Bhubaneswar","Odisha","Master Canteen Area, Bhubaneswar-751003","6","1","1"
"BCT","Mumbai Central","Mumbai","Maharashtra","Mumbai Central, Mumbai-400008","5","1","1"
"BPL","Bhopal Junction","Bhopal","Madhya Pradesh","Bhopal-462001","6","1","1"
"CNB","Kanpur Central","Kanpur","Uttar Pradesh","Kanpur-208001","10","1","0"
"CSTM","Chhatrapati Shivaji Terminus","Mumbai","Maharashtra","Fort, Mumbai-400001","18","1","1"
"GAYA","Gaya Junction","Gaya","Bihar","Station Road, Gaya-823002","9","1","0"
"HWH","Howrah Junction","Kolkata","West Bengal","Howrah-711101","23","1","1"
"HYB","Hyderabad Deccan","Hyderabad","Telangana","Nampally, Hyderabad-500001","6","1","0"
"JP","Jaipur Junction","Jaipur","Rajasthan","Station Road, Jaipur-302006","6","1","1"
"JU","Jodhpur Junction","Jodhpur","Rajasthan","Station Road, Jodhpur-342001","5","1","0"
"LKO","Lucknow Junction","Lucknow","Uttar Pradesh","Charbagh, Lucknow-226004","9","1","1"
"MAS","Chennai Central","Chennai","Tamil Nadu","Park Town, Chennai-600003","12","1","1"
"NDLS","New Delhi","New Delhi","Delhi","Paharganj, New Delhi-110055","16","1","1"
"NGP","Nagpur Junction","Nagpur","Maharashtra","Nagpur-440001","8","1","1"
"PNBE","Patna Junction","Patna","Bihar","Station Road, Patna-800001","10","1","1"
"PUNE","Pune Junction","Pune","Maharashtra","Pune Station Road, Pune-411001","6","1","1"
"SBC","KSR Bengaluru","Bengaluru","Karnataka","Majestic, Bengaluru-560023","10","1","1"
"SC","Secunderabad Junction","Hyderabad","Telangana","Secunderabad-500003","10","1","1"
